date,spot_0,spot_1,dS,dS_pct,dsig_vega_weighted,book_gamma,book_vega,book_vanna,actual,explained,unexplained,unexplained_pct_of_actual,pnl_delta,pnl_vega,pnl_theta,pnl_rho,pnl_gamma,pnl_vanna,pnl_volga,cause
2026-03-31,631.969970703125,650.3400268554688,18.37005615234375,0.02906792569891472,0.019925338334412967,39.48272381050402,2935870.9963661553,-21692.812428242403,140962.49804454483,142200.05522523687,-1237.5571806920343,-0.008779336333135643,85708.12716444371,59465.248069837384,-955.5372781440122,92.29386803247948,6661.8995175488835,-6810.094291148236,-1961.8818253333543,gap +2.91%; vol shift +1.99pt; dominant term delta; gamma over-stated
2026-06-29,728.989990234375,741.0,12.010009765625,0.0164748623801593,0.009779606522057631,-21.79508631888641,283889.95972396387,-17996.530272713113,58979.84301180672,58533.52725908416,446.31575272255577,0.007567259082619316,63819.06172200132,-2238.9421107829767,-620.3637507996054,696.1453231541435,-1571.8652713135473,-1786.599215096597,236.09056192141435,large move +1.65%; vol shift +0.98pt; dominant term delta; gamma over-stated
2026-06-15,741.75,754.8300170898438,13.08001708984375,0.01763399675071621,0.010679020014780804,-19.08925061821937,162941.40149584832,-14401.376798197849,55715.90529799857,55302.769704929815,413.13559306875686,0.007415038683461857,62175.99028335418,-3301.3172064613136,-532.3837270357195,-9.038983497700407,-1632.9598506058705,-1751.0564438484987,353.5356330247341,large move +1.76%; vol shift +1.07pt; dominant term delta; gamma over-stated
2026-07-30,729.4600219726562,741.6900024414062,12.22998046875,0.016765799496011913,0.011559797311480475,-37.148777622393496,226669.57434528694,-16631.53233104339,63723.18034486496,63343.99823241111,379.18211245384737,0.0059504580656794415,71963.07134639399,-5053.504515746181,75.64804332815513,717.6238803411452,-2778.216326601306,-1592.9803709439566,12.356175639283151,large move +1.68%; vol shift +1.16pt; dominant term delta; gamma over-stated
2026-08-03,747.030029296875,757.6699829101562,10.63995361328125,0.014243006567347586,0.008175566205869752,-34.13224019631851,5344.184902566252,-10504.885015347338,49923.49668978341,49555.521583490576,367.9751062928335,0.00737077990709208,54927.28042573516,-4469.229109145222,754.166996107824,760.724738971118,-1932.0317837741482,-529.7526738927265,44.36298948856796,large move +1.42%; vol shift +0.82pt; dominant term delta; gamma over-stated
2026-06-05,757.0900268554688,737.5499877929688,-19.5400390625,-0.025809399634622667,0.006071551275676798,-22.818774359298132,-67724.38691213785,-10715.551691773215,-97566.77907215105,-97906.20165734754,339.4225851964875,0.0034788745557079734,-87386.63003886644,-7342.431822971412,-27.199467134654483,204.58453513130598,-4356.253791241323,877.1106710925906,124.61825664237801,gap -2.58%; vol shift +0.61pt; dominant term delta; gamma over-stated
2026-08-04,757.6699829101562,771.3300170898438,13.6600341796875,0.018029002715958583,0.012218008089283743,-32.282886869315675,-72132.68563757453,-7362.492160186377,54522.66902065091,54196.86860337233,325.8004172785804,0.005975503824935291,65488.916230583105,-9356.540006967081,362.0521754103097,1145.7855838693636,-3011.93739527823,-384.83845734126123,-46.569526903875555,large move +1.80%; vol shift +1.22pt; dominant term delta; gamma over-stated
2026-07-06,744.780029296875,751.280029296875,6.5,0.008727409093039805,0.002910883439322919,-24.101746593718786,48471.0884000489,-13118.713383055148,31778.41227649199,31482.66598062436,295.74629586762967,0.00930651579740525,32137.961474766977,-839.854263029807,-34.33866219094481,865.854258184387,-509.1493967923093,-135.7082498867807,-2.0991804271620396,dominant term delta
2026-06-11,725.4299926757812,737.760009765625,12.33001708984375,0.016996839411565996,0.010197177667526095,-18.59592720821955,388413.6309531962,-19240.527939881817,59826.04624166852,59549.22276978898,276.82347187953565,0.004627139670258363,64155.46509918688,-491.2052696404171,-309.00676075943244,-498.456738389144,-1413.5630974679364,-2236.1442869528223,342.1338238118618,large move +1.70%; vol shift +1.02pt; dominant term delta; gamma over-stated
2026-03-27,645.0900268554688,634.0900268554688,-11.0,-0.017051883523328024,-0.0014651872092503568,26.6345632303372,2578811.4958993774,-26569.04740480968,-65708.77755613893,-65902.56035958721,193.7828034482809,0.00294911594242825,-55284.50725444784,-10831.29133748623,-886.9415226860691,-541.2814898683276,1611.3910754354006,30.620461198502106,-0.5502917326437,large move -1.71%; dominant term delta; gamma under-stated
