date,spot,vol_factor,0-3M,3M-6M,6M-1Y,1Y+,total_parallel,sum_buckets,interaction
2025-08-01,621.719970703125,0.7850694777832838,0.0,0.0,0.0,2570847.401021165,2570847.401021165,2570847.401021165,0.0
2025-08-04,631.1699829101562,0.8614623345014991,0.0,0.0,0.0,2342691.8314840877,2342691.8314840877,2342691.8314840877,0.0
2025-08-05,627.969970703125,0.8462082807478973,0.0,0.0,0.0,2423798.3402818325,2423798.3402818325,2423798.3402818325,0.0
2025-08-06,632.780029296875,0.8454276651613587,0.0,0.0,0.0,2321807.9689275357,2321807.9689275357,2321807.9689275357,0.0
2025-08-07,632.25,0.8199788332157136,0.0,0.0,0.0,2344118.808694638,2344118.808694638,2344118.808694638,0.0
2025-08-08,637.1799926757812,0.821689325091153,0.0,0.0,0.0,2233679.19883905,2233679.19883905,2233679.19883905,0.0
2025-08-11,635.9199829101562,0.7984142460291188,0.0,0.0,0.0,2274691.663714533,2274691.663714533,2274691.663714533,0.0
2025-08-12,642.6900024414062,0.824272111394724,0.0,0.0,0.0,2115107.9930878594,2115107.9930878594,2115107.9930878594,0.0
2025-08-13,644.8900146484375,0.804370124785995,0.0,0.0,0.0,2076964.366955799,2076964.366955799,2076964.366955799,0.0
2025-08-14,644.9500122070312,0.7798697390426854,0.0,0.0,0.0,2083593.9189136378,2083593.9189136378,2083593.9189136378,0.0
2025-08-15,643.4400024414062,0.7587059802251558,0.0,0.0,0.0,2127005.599255499,2127005.599255499,2127005.599255499,0.0
2025-08-18,643.2999877929688,0.7356157642184076,0.0,0.0,0.0,2140430.594073725,2140430.594073725,2140430.594073725,0.0
2025-08-19,639.8099975585938,0.7278928469850582,0.0,0.0,0.0,2232622.515775566,2232622.515775566,2232622.515775566,0.0
2025-08-20,638.1099853515625,0.7092962753610004,0.0,0.0,0.0,2281253.644890792,2281253.644890792,2281253.644890792,0.0
2025-08-21,635.5499877929688,0.6960408854587586,0.0,0.0,0.0,2347787.154628837,2347787.154628837,2347787.154628837,0.0
2025-08-22,645.3099975585938,0.7883666373240803,0.0,0.0,0.0,2095012.8707919968,2095012.8707919968,2095012.8707919968,0.0
2025-08-25,642.469970703125,0.7733983620750696,0.0,0.0,0.0,2171927.478906221,2171927.478906221,2171927.478906221,0.0
2025-08-26,645.1599731445312,0.7581176632666059,0.0,0.0,0.0,2115303.3435343066,2115303.3435343066,2115303.3435343066,0.0
2025-08-27,646.6300048828125,0.7375382717208273,0.0,0.0,0.0,2095111.2613074947,2095111.2613074947,2095111.2613074947,0.0
2025-08-28,648.9199829101562,0.7212927765160616,0.0,0.0,0.0,2042904.0319383377,2042904.0319383377,2042904.0319383377,0.0
2025-08-29,645.0499877929688,0.7173826185985926,0.0,0.0,0.0,2148165.6096926075,2148165.6096926075,2148165.6096926075,0.0
2025-09-02,640.27001953125,0.7234130978135502,0.0,0.0,0.0,2276244.554983871,2276244.554983871,2276244.554983871,0.0
2025-09-03,643.739990234375,0.7161150400028112,0.0,0.0,0.0,2198562.3534014565,2198562.3534014565,2198562.3534014565,0.0
2025-09-04,649.1199951171875,0.7291042001969505,0.0,0.0,0.0,2069380.4526467924,2069380.4526467924,2069380.4526467924,0.0
2025-09-05,647.239990234375,0.7111358513744706,0.0,0.0,0.0,2146213.5616746265,2146213.5616746265,2146213.5616746265,0.0
2025-09-08,648.8300170898438,0.6925872830570337,0.0,0.0,0.0,2113542.727544543,2113542.727544543,2113542.727544543,0.0
2025-09-09,650.3300170898438,0.6743221214347903,0.0,0.0,0.0,2079131.8241582369,2079131.8241582369,2079131.8241582369,0.0
2025-09-10,652.2100219726562,0.6583217941549199,0.0,0.0,0.0,2041515.2156811208,2041515.2156811208,2041515.2156811208,0.0
2025-09-11,657.6300048828125,0.6755513247897222,0.0,0.0,0.0,1904551.8970170757,1904551.8970170757,1904551.8970170757,0.0
2025-09-12,657.4099731445312,0.6550324493960918,0.0,0.0,0.0,1915888.1429696688,1915888.1429696688,1915888.1429696688,0.0
2025-09-15,660.9099731445312,0.6507598884430076,0.0,0.0,0.0,1841885.2875646087,1841885.2875646087,1841885.2875646087,0.0
2025-09-16,660.0,0.6320101677124974,0.0,0.0,0.0,1872159.3489882885,1872159.3489882885,1872159.3489882885,0.0
2025-09-17,659.1799926757812,0.6136579375389422,0.0,0.0,0.0,1903929.7163067036,1903929.7163067036,1903929.7163067036,0.0
2025-09-18,662.260009765625,0.6078846582092182,0.0,0.0,4479866.2874398865,-2654194.292376749,1825671.9950631144,1825671.9950631373,-2.2817403078079224e-08
2025-09-19,663.7000122070312,0.5922216674087932,0.0,0.0,4452890.136052156,-2658677.4689257494,1794212.6671264064,1794212.6671264064,0.0
2025-09-22,666.8400268554688,0.587891468012254,0.0,0.0,4397207.383298408,-2669007.616745215,1728199.766553205,1728199.7665531933,1.1641532182693481e-08
2025-09-23,663.2100219726562,0.5883785458998781,0.0,0.0,4434553.81035544,-2613228.6937240628,1821325.1166313654,1821325.116631377,-1.1641532182693481e-08
2025-09-24,661.0999755859375,0.5767848787907388,0.0,0.0,4448402.850144181,-2572850.4482896766,1875552.401854517,1875552.4018545048,1.210719347000122e-08
2025-09-25,658.0499877929688,0.5727246969932873,0.0,0.0,4473137.175870465,-2522345.7937192405,1950791.382151225,1950791.3821512247,4.656612873077393e-10
2025-09-26,661.8200073242188,0.5759116644881984,0.0,0.0,4425771.320370585,-2566284.846079198,1859486.4742913865,1859486.4742913865,0.0
2025-09-29,663.6799926757812,0.5633889157080844,0.0,0.0,4379230.217694468,-2562114.340521267,1817115.8771732007,1817115.8771732007,0.0
2025-09-30,666.1799926757812,0.5554035410611374,0.0,0.0,4341394.240666181,-2581282.9254209995,1760111.3152451697,1760111.3152451813,-1.1641532182693481e-08
2025-10-01,668.4500122070312,0.5461145198316332,0.0,0.0,4302965.548157587,-2598358.739559818,1704606.8085977808,1704606.8085977687,1.210719347000122e-08
2025-10-02,669.219970703125,0.5303719930093075,0.0,0.0,4280950.699487026,-2593575.201854855,1687375.497632171,1687375.497632171,0.0
2025-10-03,669.2100219726562,0.5142148791886406,0.0,0.0,4267855.693075061,-2579700.3164162394,1688155.3766588331,1688155.3766588215,1.1641532182693481e-08
2025-10-06,671.6099853515625,0.5076590638558668,0.0,0.0,4211880.887538753,-2581906.8617578247,1629974.0257809288,1629974.0257809288,0.0
2025-10-07,669.1199951171875,0.5021178507196845,0.0,0.0,4238266.239567857,-2537627.5766329956,1700638.662934862,1700638.6629348616,4.656612873077393e-10
2025-10-08,673.1099853515625,0.5121288445735737,0.0,0.0,4180505.0055236323,-2582780.4543060483,1597724.5512175607,1597724.551217584,-2.3283064365386963e-08
2025-10-09,671.1599731445312,0.5025529750071586,0.0,0.0,4195125.057282462,-2548105.803423724,1647019.2538587376,1647019.2538587376,0.0
2025-10-10,653.02001953125,0.8799749271209539,0.0,0.0,4481621.972316597,-2448381.457781594,2033240.5145349796,2033240.5145350029,-2.3283064365386963e-08
2025-10-13,663.0399780273438,0.9453771765789124,0.0,0.0,4374911.211068765,-2591000.218492816,1783910.992575949,1783910.992575949,0.0
2025-10-14,662.22998046875,0.917159983818568,0.0,0.0,4370816.156725562,-2561622.4308982375,1809193.7258273247,1809193.7258273247,0.0
2025-10-15,665.1699829101562,0.897076310261673,0.0,0.0,4328407.777107122,-2584442.7309151157,1743965.0461920071,1743965.0461920067,4.656612873077393e-10
2025-10-16,660.6400146484375,0.8887407166617659,0.0,0.0,1400555.79323438,454638.54515296407,1855194.3383873207,1855194.338387344,-2.3283064365386963e-08
