run,ewma_lambda,method,confidence,horizon_days,VaR,ES,n_obs,n_eff_tail,note
sensitivity,0.97,filtered_hs,95%,1,66174.48,83523.27,255,13.0,"EWMA lambda=0.97; current vol 33,535"
sensitivity,0.97,full_reval,95%,1,45545.01,58061.44,255,13.0,full repricing under historical shocks
sensitivity,0.97,historical,97.5%,1,65708.78,73151.12,255,7.0,
sensitivity,0.97,parametric,97.5%,1,58547.51,69834.21,255,255.0,normal assumption; delta + gamma + vega
sensitivity,0.97,filtered_hs,97.5%,1,74447.61,95217.76,255,7.0,"EWMA lambda=0.97; current vol 33,535"
sensitivity,0.97,full_reval,97.5%,1,53033.0,65796.0,255,7.0,full repricing under historical shocks
sensitivity,0.97,historical,99%,1,70650.25,79784.13,255,3.0,only 3 obs in the tail; ES is not a stable estimate
sensitivity,0.97,parametric,99%,1,69492.03,79614.56,255,255.0,normal assumption; delta + gamma + vega
sensitivity,0.97,filtered_hs,99%,1,107787.26,120962.09,255,3.0,"EWMA lambda=0.97; current vol 33,535"
sensitivity,0.97,full_reval,99%,1,65588.4,80219.12,255,3.0,full repricing under historical shocks
sensitivity,0.97,historical,95%,10,168483.54,207918.53,255,13.0,"sqrt-time scaled, assumes iid"
sensitivity,0.97,parametric,95%,10,155377.32,194849.43,255,255.0,normal assumption; delta + gamma + vega; sqrt-time scaled
sensitivity,0.97,filtered_hs,95%,10,209262.07,264123.77,255,13.0,"EWMA lambda=0.97; current vol 33,535; sqrt-time scaled"
sensitivity,0.97,full_reval,95%,10,144025.97,183606.38,255,13.0,full repricing under historical shocks; sqrt-time scaled
sensitivity,0.97,historical,97.5%,10,207789.4,231324.15,255,7.0,"sqrt-time scaled, assumes iid"
sensitivity,0.97,parametric,97.5%,10,185143.49,220835.17,255,255.0,normal assumption; delta + gamma + vega; sqrt-time scaled
sensitivity,0.97,filtered_hs,97.5%,10,235424.01,301105.0,255,7.0,"EWMA lambda=0.97; current vol 33,535; sqrt-time scaled"
sensitivity,0.97,full_reval,97.5%,10,167705.06,208065.21,255,7.0,full repricing under historical shocks; sqrt-time scaled
sensitivity,0.97,historical,99%,10,223415.7,252299.57,255,3.0,"only 3 obs in the tail; ES is not a stable estimate; sqrt-time scaled, assumes iid"
sensitivity,0.97,parametric,99%,10,219753.11,251763.34,255,255.0,normal assumption; delta + gamma + vega; sqrt-time scaled
sensitivity,0.97,filtered_hs,99%,10,340853.24,382515.71,255,3.0,"EWMA lambda=0.97; current vol 33,535; sqrt-time scaled"
sensitivity,0.97,full_reval,99%,10,207408.73,253675.12,255,3.0,full repricing under historical shocks; sqrt-time scaled
