date,spot_0,spot_1,dS,dS_pct,dt,vol_factor_0,vol_factor_1,dsig_vega_weighted,dsig_atm_3m,dr,value_0,value_1,actual,book_delta,book_gamma,book_vega,book_vanna,book_volga,pnl_delta,pnl_gamma,pnl_vega,pnl_theta,pnl_rho,pnl_vanna,pnl_volga,explained,unexplained,unexplained_pct_of_actual
2025-08-04,621.719970703125,631.1699829101562,9.45001220703125,0.01519978873502149,0.008213552361396304,0.7850694777832838,0.8614623345014991,0.005294636899015515,0.00708967562880905,-0.00029319837825363734,1037190.5537463205,1083071.7895693318,45881.23582301126,3552.9763961663875,16.31827932128879,2567131.3594310745,-18524.304092548104,-15273108.250409564,33575.67031506626,728.6334519646081,15459.85074807751,-1525.9665144927296,-1442.9746428488845,-733.0930499283035,-145.3060230669916,45916.81428477146,-35.578461760203936,-0.0007754468928746668
2025-08-05,631.1699829101562,627.969970703125,-3.20001220703125,-0.005069968936540436,0.0027378507871321013,0.8614623345014991,0.8462082807478973,-0.0016533887055654854,-0.001415659759084087,-3.1063010748457257e-05,1083071.7895693318,1066356.946996227,-16714.842573104892,3609.937430874731,12.80580711269765,2339625.905816563,-19211.07728686703,-12589825.286115967,-11551.843845418169,65.56623264480642,-4424.287702590975,-491.9402477304208,-211.52430125002977,-85.466148433739,-11.586203144340619,-16711.082215922863,-3.760357182029111,-0.00022497113960736514
2025-08-06,627.969970703125,632.780029296875,4.81005859375,0.007659695237280656,0.0027378507871321013,0.8462082807478973,0.8454276651613587,0.0014621726503959802,-7.244540310574754e-05,-0.00017106716876847013,1066356.946996227,1087135.252085834,20778.305089607136,3594.756740586592,14.03207573590262,2420500.6368026193,-19009.088908754202,-13543421.356133934,17290.990552499276,162.32770848401606,4724.896089938736,-499.9131787113102,-788.6930533690232,-94.95942734982125,-8.701036155363315,20785.947655336506,-7.64256572936938,-0.00036781468442255324
2025-08-07,632.780029296875,632.25,-0.530029296875,-0.0008376201402309609,0.0027378507871321013,0.8454276651613587,0.8199788332157136,-0.0010659960942357666,-0.002361791028344634,4.893595928328817e-05,1087135.252085834,1082569.8072974798,-4565.444788354216,3637.5213014131004,12.504800304411113,2318790.970246762,-19489.197824369578,-12368115.498581177,-1927.9928577558205,1.7564933744538704,-2252.4048000755956,-491.0357934912204,121.77588223522113,-10.525975421972735,-5.2685675231235365,-4563.695618658057,-1.7491696961587877,-0.0003831323731305796
2025-08-08,632.25,637.1799926757812,4.92999267578125,0.00779753685374654,0.0027378507871321013,0.8199788332157136,0.821689325091153,0.0016207087920911117,0.0001587430171293147,-5.106632953507176e-05,1082569.8072974798,1104822.3219433308,22252.514645850984,3653.346405197072,12.838646201076923,2341022.486893539,-19652.59219682624,-12659897.317814454,18010.971019713324,156.0205424436692,5005.170471383409,-494.00301500961365,-296.6697569893995,-118.30174423820426,-10.127571714163544,22253.05994558902,-0.5452997380343731,-2.450508388435305e-05
2025-08-11,637.1799926757812,635.9199829101562,-1.260009765625,-0.001977478546263984,0.008213552361396304,0.821689325091153,0.7984142460291188,-0.0013627415979659292,-0.0021600548516385043,9.680673344068715e-05,1104822.3219433308,1096169.8225415843,-8652.49940174655,3689.551427387477,11.265635948880401,2230902.6634899275,-20025.526825603454,-11368702.52016507,-4648.870829283879,8.94280043688829,-2662.688234226428,-1451.6388620144962,158.10179520510135,-34.04879548193967,-7.689435779121542,-8637.891561143877,-14.607840602673605,-0.001688279874336072
2025-08-12,635.9199829101562,642.6900024414062,6.77001953125,0.010646024206171988,0.0027378507871321013,0.7984142460291188,0.824272111394724,0.0030257288293482703,0.0023997515706444816,-0.0001310652995668033,1096169.8225415843,1128247.7848834929,32077.9623419086,3709.703916352506,11.868774227389018,2271777.628896929,-20208.41388273365,-11891753.764067799,25114.76796886108,271.99174051273,8205.731118163108,-490.9138154277185,-639.1835129896888,-343.1395659600037,-34.924827012936454,32084.329106146575,-6.366764237976895,-0.00019847782630690876
2025-08-13,642.6900024414062,644.8900146484375,2.20001220703125,0.003423131212052461,0.0027378507871321013,0.824272111394724,0.804370124785995,-3.7347807290686563e-05,-0.0018470133921716092,-0.00020106499439103212,1128247.7848834929,1135684.2534388816,7436.468555388739,3731.8451725218124,9.689790841084015,2112683.381163127,-20362.986879520777,-9986667.58224232,8210.104934298628,23.44955406002039,615.4588966141096,-474.6586543661657,-943.1523843847374,7.247567201569315,-0.09633883109052918,7438.353574592334,-1.885019203594311,-0.0002534831135981011
2025-08-14,644.8900146484375,644.9500122070312,0.05999755859375,9.303533506633334e-05,0.0027378507871321013,0.804370124785995,0.7798697390426854,-0.000846653106422073,-0.0022737700246173165,1.8933365289149247e-05,1135684.2534388816,1134059.2041412988,-1625.0492975828238,3755.8926770918274,9.174734337064958,2074648.9839257346,-20589.338333231935,-9546286.039660856,225.34439096565347,0.01651317787883461,-1373.779693331327,-470.39290411328477,-4.038341014892417,1.054403801705903,-2.4933768251693067,-1624.2890073394353,-0.7602902433884537,-0.0004678567256509362
2025-08-15,644.9500122070312,643.4400024414062,-1.510009765625,-0.0023412818622294738,0.0027378507871321013,0.7798697390426854,0.7587059802251558,-0.0012767300640839506,-0.001964112765884485,-1.0651851258900585e-06,1134059.2041412988,1125115.9638908082,-8943.240250490606,3776.7298942358566,9.254703310469559,2081246.963627262,-20813.428799190035,-9647114.066983704,-5702.899022424017,10.550960980264763,-2641.512437780044,-471.88280013550315,-89.94930486506344,-37.58976764129827,-5.19308184216786,-8938.47545370783,-4.764796782776102,-0.0005327819279499638
2025-08-18,643.4400024414062,643.2999877929688,-0.1400146484375,-0.00021760326977844402,0.008213552361396304,0.7587059802251558,0.7356157642184076,-0.0009950340540781023,-0.0021428985473185697,0.0001068060086482055,1125115.9638908082,1121917.9118934076,-3198.0519974005874,3789.6933736949936,9.820529458044263,2124514.393120199,-20975.413579532305,-10185309.265229989,-530.6125854038279,0.09626132950013991,-1428.4740684386225,-1432.5137500729197,206.88895232338234,-3.099617856944175,-3.8113751863163863,-3191.526183305748,-6.525814094839461,-0.002040559096644994
2025-08-19,643.2999877929688,639.8099975585938,-3.489990234375,-0.005425136484688032,0.0027378507871321013,0.7356157642184076,0.7278928469850582,-0.0015526041296062736,-0.000716729029973967,-0.0001310652995668085,1121917.9118934076,1103461.1604067888,-18456.75148661877,3819.1087019774704,10.015373970591682,2137882.3558945716,-21260.552424930043,-10383384.364292,-13328.652073917954,60.99378690579079,-3940.9538363554657,-481.8582530629245,-653.7374207679578,-100.08626486793064,-7.618476157377953,-18451.912538223824,-4.838948394946783,-0.00026217768595167154
2025-08-20,639.8099975585938,638.1099853515625,-1.70001220703125,-0.002657057897685575,0.0027378507871321013,0.7278928469850582,0.7092962753610004,-0.0012540759857456282,-0.0017258637297569018,4.893119091170864e-05,1103461.1604067888,1093710.9919360662,-9750.168470722623,3811.2130810929266,11.282606825115092,2229788.7477420946,-21199.153187128493,-11491949.396244364,-6479.108761455156,16.30360099925989,-2871.120306778061,-492.30914438858645,128.21909196320593,-41.46179769852462,-5.975959570846098,-9745.453276928707,-4.715193793916114,-0.00048360126371915427
2025-08-21,638.1099853515625,635.5499877929688,-2.55999755859375,-0.0040118437532102496,0.0027378507871321013,0.7092962753610004,0.6960408854587586,-0.0013479315057425645,-0.0012301728038123932,0.00012893492931502232,1093710.9919360662,1080488.2144783298,-13222.777457736433,3818.79664448688,11.983382723890951,2278262.6860190234,-21282.196170614727,-12094052.377004515,-9776.110086652418,39.26707361353956,-3384.4756801940057,-498.32883816795925,475.33717958216084,-64.71157220147956,-6.949687385401664,-13215.971611405565,-6.8058463308680075,-0.0005147062599080511
2025-08-22,635.5499877929688,645.3099975585938,9.760009765625,0.015356793254796405,0.0027378507871321013,0.6960408854587586,0.7883666373240803,0.006202428541606493,0.008568335588305956,-0.00040106480365615597,1080488.2144783298,1130588.7386425906,50100.52416426083,3816.0960391157705,12.982622517454967,2344590.5124987746,-21239.657513830614,-12904869.230994223,37245.1346083328,618.3479687661869,15865.229466316869,-506.3012235803344,-1815.471623756344,-1121.3913103973775,-163.7935450355942,50121.754340646214,-21.230176385382947,-0.0004237515822344924
2025-08-25,645.3099975585938,642.469970703125,-2.84002685546875,-0.00440102720585989,0.008213552361396304,0.7883666373240803,0.7733983620750696,-0.0016730596054468513,-0.0013891379481939525,4.680558903150025e-05,1130588.7386425906,1114706.267913922,-15882.470728668617,3807.1145045129233,9.43841950688169,2092621.8422893984,-21005.71718947107,-9820350.68564244,-10812.307434661307,38.06397805458758,-3488.8686291660015,-1438.759610172881,-50.971862677525635,-93.91617547681172,-8.789950770034121,-15855.549684869973,-26.92104379864395,-0.0016950161129559132
2025-08-26,642.469970703125,645.1599731445312,2.69000244140625,0.004186969919329127,0.0027378507871321013,0.7733983620750696,0.7581176632666059,0.0003197140503842871,-0.0014181325661526828,-5.1066329535063085e-05,1114706.267913922,1125763.6595666744,11057.391652752412,3819.9720117292272,10.493811063891108,2169290.3913077237,-21140.394723218407,-10765099.75178169,10275.734037655166,37.96720203661692,1544.1134541817098,-491.12417525559545,-303.99422572160285,-8.080091389704853,-0.243949866590509,11054.372251639998,3.0194011124149256,0.0002730663077908916
2025-08-27,645.1599731445312,646.6300048828125,1.47003173828125,0.002278553846290659,0.0027378507871321013,0.7581176632666059,0.7375382717208273,-0.00034661633335176454,-0.0019098802815556426,-0.0002810639644227741,1125763.6595666744,1129451.4190670233,3687.7595003489405,3845.9435454388854,9.716223653343846,2112830.7768605673,-21381.40507333335,-10107292.971571837,5653.659075433078,10.498347164220352,-193.44231159748824,-485.2694541538554,-1305.9400726326196,13.262740560885854,-0.6388494100033468,3692.1294753642173,-4.36997501527685,-0.0011849945786495451
2025-08-28,646.6300048828125,648.9199829101562,2.28997802734375,0.003541403909580036,0.0027378507871321013,0.7375382717208273,0.7212927765160616,0.00019843476771455815,-0.0015076709574561448,0.00011893565410750918,1129451.4190670233,1139537.319399886,10085.900332862744,3868.3708036082417,9.419955835445322,2092692.9469815423,-21604.220860087647,-9878302.969401034,8858.484141880957,24.699121213079522,1245.475246574325,-482.6209983196005,435.52550352057466,-2.5216291563046345,-0.097931071116403,10078.943454641914,6.956878220829822,0.0006897627372107105
2025-08-29,648.9199829101562,645.0499877929688,-3.8699951171875,-0.005963747794962427,0.0027378507871321013,0.7212927765160616,0.7173826185985926,-0.0016194728790945186,-0.0003628840769043379,-0.00029106323963028376,1139537.319399886,1118510.6125053356,-21026.706894550472,3891.989205873359,8.734747379234392,2040639.291766195,-21809.48387892351,-9273006.885493657,-15061.979222876354,65.40955395611454,-4058.7436747303354,-477.5416093861095,-1363.782671281086,-119.00521516385808,-6.951122382903044,-21022.593961864535,-4.112932685937267,-0.00019560517519760657
2025-09-02,645.0499877929688,640.27001953125,-4.77996826171875,-0.007410229210411053,0.010951403148528405,0.7173826185985926,0.7234130978135502,-0.0017850164564260744,0.0005596615096883639,-0.00011426230452944285,1118510.6125053356,1092636.2793303682,-25874.33317496744,3885.4489961616455,10.126427361629808,2145573.007420604,-21796.275906999064,-10534500.443558272,-18572.322884179644,115.68479519982115,-4400.548928650435,-1959.1634828200906,-835.3272104348896,-165.45387812740213,-9.713096032246009,-25826.84468504489,-47.4884899225508,-0.00183535125722561
2025-09-03,640.27001953125,643.739990234375,3.469970703125,0.005419542688669713,0.0027378507871321013,0.7234130978135502,0.7161150400028112,0.0008256621218285343,-0.0006772997479239096,-0.0001410645747743234,1092636.2793303682,1107748.3923014093,15112.112971041119,3875.707445832052,11.978380431018191,2273263.99704494,-21651.889708403458,-12074781.913684377,13448.591290920644,72.1140227470378,2839.1201605688293,-507.49499280057483,-695.7101359568205,-43.04847808736116,-2.098686896371544,15111.473180495383,0.6397905457361048,4.233627335648668e-05
