threshold,n_days,pct_of_days
0.005,124,0.48627450980392156
0.01,50,0.19607843137254902
0.015,24,0.09411764705882353
0.02,5,0.0196078431372549
0.025,4,0.01568627450980392
0.03,0,0.0
